what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333294298100
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333294299285
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294304954
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294306052
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294318143
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1333294323782
error,log,,,"Error checking for valid tokens (imports) for analisador",1333294323856
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294324951
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294374386
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294376116
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1333294379207
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1333294379468
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294379620
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepOver",1333294382007
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1333294384157
activated,perspective,org.python.pydev,2.4.0.2012020116,"org.python.pydev.ui.PythonPerspective",1333294396115
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294396127
no handler,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.Resume",1333294398319
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1333294400100
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.Resume",1333294400717
activated,perspective,org.python.pydev,2.4.0.2012020116,"org.python.pydev.ui.PythonPerspective",1333294402012
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294403864
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294466151
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333294476799
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333294479032
error,log,,,"Error checking for valid tokens (imports) for analisador",1333294479166
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333294511120
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294512854
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294513788
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294513810
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294513840
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333294513851
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333294513851
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294519569
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294520044
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333294520076
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333294520084
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333294520084
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294529170
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294529207
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333294625797
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.debug",1333294630695
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294635018
error,log,,,"Error checking for valid tokens (imports) for analisador",1333294635047
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294635076
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333294642493
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1333294681453
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1333294681612
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333294681623
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepOver",1333294683534
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1333294686967
